"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000035","PUBLISHED","2012","SEAR","AGE20-24","FMLE","54","53.95416","","",""
"LIFE_0000000035","PUBLISHED","1990","SEAR","AGE15-19","MLE","52","51.95918","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE80-84","FMLE","142978.6","142978.60000","","",""
"LIFE_0000000031","PUBLISHED","2000","SEAR","AGE5-9","BTSX","91663.6","91663.63000","","",""
"LIFE_0000000031","PUBLISHED","2000","SEAR","AGE20-24","BTSX","89559","89558.95000","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE50-54","MLE","74433.4","74433.42000","","",""
"LIFE_0000000031","PUBLISHED","2012","SEAR","AGE80-84","MLE","24788.2","24788.20000","","",""
"LIFE_0000000031","PUBLISHED","2012","SEAR","AGE40-44","FMLE","90139.3","90139.27000","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE5-9","MLE","0.00514","0.00514","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE5-9","MLE","5377053","5377053.00000","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE40-44","BTSX","2490990","2490990.00000","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE10-14","FMLE","5989094","5989094.00000","","",""
"LIFE_0000000032","PUBLISHED","2013","SEAR","AGE45-49","BTSX","2408.7","2408.67800","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE70-74","BTSX","645668","645668.00000","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE100PLUS","MLE","1","1.00000","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE15-19","FMLE","469358.2","469358.20000","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE90-94","BTSX","0.709293","0.70929","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE25-29","MLE","0.002163","0.00216","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE95-99","BTSX","0.316292","0.31629","","",""
"LIFE_0000000032","PUBLISHED","2000","SEAR","AGE55-59","FMLE","4794.4","4794.44800","","",""
"LIFE_0000000033","PUBLISHED","1990","SEAR","AGE85-89","FMLE","39291.1","39291.13000","","",""
"LIFE_0000000033","PUBLISHED","1990","SEAR","AGE100PLUS","FMLE","707.6","707.59220","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE40-44","MLE","0.00481","0.00481","","",""
"LIFE_0000000033","PUBLISHED","1990","SEAR","AGE40-44","MLE","395688.7","395688.70000","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE75-79","FMLE","0.302106","0.30211","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE1-4","MLE","0.009724","0.00972","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE15-19","BTSX","5324125","5324125.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE80-84","MLE","17767.2","17767.21000","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE1-4","BTSX","6651681","6651681.00000","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGELT1","FMLE","5986518","5986518.00000","","",""
"LIFE_0000000031","PUBLISHED","2012","SEAR","AGE10-14","MLE","94587","94586.98000","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE75-79","BTSX","8.8","8.75554","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE5-9","FMLE","1248.8","1248.76100","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE95-99","FMLE","0.277908","0.27791","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE35-39","FMLE","1490.5","1490.52200","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE80-84","FMLE","0.109568","0.10957","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE5-9","BTSX","473957","473957.00000","","",""
"LIFE_0000000033","PUBLISHED","2013","SEAR","AGE80-84","MLE","94596.5","94596.48000","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE10-14","BTSX","0.001474","0.00147","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE5-9","MLE","0.00106","0.00106","","",""
"LIFE_0000000033","PUBLISHED","1990","SEAR","AGE90-94","BTSX","11262.1","11262.14000","","",""
"LIFE_0000000029","PUBLISHED","2000","SEAR","AGE25-29","MLE","0.002852","0.00285","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE65-69","FMLE","0.03763","0.03763","","",""
"LIFE_0000000032","PUBLISHED","2012","SEAR","AGE25-29","BTSX","904.5","904.46310","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE95-99","BTSX","891.4","891.44170","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE60-64","MLE","9304.7","9304.70100","","",""
"LIFE_0000000035","PUBLISHED","2000","SEAR","AGE10-14","MLE","57.5","57.52707","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE100PLUS","BTSX","247.7","247.73550","","",""
"LIFE_0000000031","PUBLISHED","2012","SEAR","AGE15-19","BTSX","94177.8","94177.75000","","",""
"LIFE_0000000031","PUBLISHED","2012","SEAR","AGE55-59","FMLE","84369.6","84369.58000","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE70-74","MLE","10.5","10.45730","","",""
"LIFE_0000000033","PUBLISHED","2000","SEAR","AGE95-99","FMLE","5267.4","5267.40300","","",""
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGE20-24","FMLE","5072605","5072605.00000","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE50-54","FMLE","0.00984","0.00984","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE30-34","MLE","3447053","3447053.00000","","",""
"LIFE_0000000032","PUBLISHED","2012","SEAR","AGE50-54","FMLE","2651","2651.04200","","",""
"LIFE_0000000033","PUBLISHED","2013","SEAR","AGE100PLUS","BTSX","1737.6","1737.63200","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE45-49","FMLE","0.031521","0.03152","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE80-84","BTSX","154702.7","154702.70000","","",""
"LIFE_0000000032","PUBLISHED","2013","SEAR","AGE50-54","BTSX","3465.9","3465.85100","","",""
"LIFE_0000000031","PUBLISHED","2000","SEAR","AGE35-39","FMLE","85996.4","85996.45000","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE85-89","MLE","5.1","5.14074","","",""
"LIFE_0000000032","PUBLISHED","2000","SEAR","AGE5-9","BTSX","801.2","801.19430","","",""
"LIFE_0000000035","PUBLISHED","1990","SEAR","AGE80-84","FMLE","6.2","6.19747","","",""
"LIFE_0000000032","PUBLISHED","2000","SEAR","AGE85-89","MLE","6213.3","6213.29400","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE45-49","FMLE","31.2","31.15063","","",""
"LIFE_0000000031","PUBLISHED","2013","SEAR","AGE65-69","FMLE","73886.9","73886.90000","","",""
"LIFE_0000000030","PUBLISHED","2000","SEAR","AGE95-99","MLE","0.766104","0.76610","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE30-34","FMLE","44.9","44.87596","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE20-24","BTSX","0.013979","0.01398","","",""
"LIFE_0000000033","PUBLISHED","2013","SEAR","AGE95-99","MLE","4781.9","4781.92600","","",""
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGE10-14","BTSX","5821854","5821854.00000","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE20-24","FMLE","4613435","4613435.00000","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE35-39","MLE","0.003799","0.00380","","",""
