"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000029","PUBLISHED","2000","WPR","AGE75-79","BTSX","0.061885","0.06189","","",""
"LIFE_0000000032","PUBLISHED","2000","WPR","AGE10-14","MLE","260.4","260.44870","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGE80-84","BTSX","6.7","6.71281","","",""
"LIFE_0000000032","PUBLISHED","2012","WPR","AGE40-44","BTSX","863.5","863.49050","","",""
"LIFE_0000000032","PUBLISHED","1990","WPR","AGE90-94","MLE","4318.9","4318.88000","","",""
"LIFE_0000000034","PUBLISHED","2012","WPR","AGE40-44","FMLE","3894036","3894036.00000","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE10-14","FMLE","0.002017","0.00202","","",""
"LIFE_0000000034","PUBLISHED","1990","WPR","AGE85-89","BTSX","101537.8","101537.80000","","",""
"LIFE_0000000031","PUBLISHED","2012","WPR","AGE45-49","BTSX","95178.5","95178.45000","","",""
"LIFE_0000000031","PUBLISHED","1990","WPR","AGE95-99","MLE","1181.7","1181.66800","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGE30-34","FMLE","0.000698","0.00070","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE55-59","MLE","4001.6","4001.63300","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE60-64","FMLE","442835.7","442835.70000","","",""
"LIFE_0000000031","PUBLISHED","2012","WPR","AGE60-64","BTSX","88438.3","88438.30000","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE1-4","MLE","6902156","6902156.00000","","",""
"LIFE_0000000031","PUBLISHED","2000","WPR","AGE30-34","MLE","93859.9","93859.85000","","",""
"LIFE_0000000034","PUBLISHED","1990","WPR","AGE25-29","FMLE","4814158","4814158.00000","","",""
"LIFE_0000000034","PUBLISHED","1990","WPR","AGE10-14","FMLE","6226659","6226659.00000","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE75-79","FMLE","313023.7","313023.70000","","",""
"LIFE_0000000029","PUBLISHED","2012","WPR","AGE70-74","BTSX","0.033673","0.03367","","",""
"LIFE_0000000033","PUBLISHED","2000","WPR","AGE5-9","MLE","480330.3","480330.30000","","",""
"LIFE_0000000032","PUBLISHED","2012","WPR","AGE95-99","FMLE","5198.5","5198.54300","","",""
"LIFE_0000000029","PUBLISHED","2000","WPR","AGE1-4","FMLE","0.001744","0.00174","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE90-94","FMLE","63554.5","63554.52000","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGE85-89","MLE","0.164664","0.16466","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE15-19","MLE","488718","488718.00000","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE90-94","BTSX","3.7","3.74130","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE50-54","BTSX","2058.1","2058.13700","","",""
"LIFE_0000000032","PUBLISHED","2012","WPR","AGE10-14","FMLE","134.4","134.42210","","",""
"LIFE_0000000029","PUBLISHED","1990","WPR","AGE55-59","BTSX","0.01053","0.01053","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE100PLUS","FMLE","1","1.00000","","",""
"LIFE_0000000032","PUBLISHED","2012","WPR","AGE35-39","MLE","658.2","658.20120","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE5-9","MLE","70.3","70.25145","","",""
"LIFE_0000000030","PUBLISHED","2012","WPR","AGE30-34","MLE","0.005473","0.00547","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGE95-99","FMLE","7113.6","7113.59400","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGELT1","BTSX","7231028","7231028.00000","","",""
"LIFE_0000000035","PUBLISHED","2013","WPR","AGE75-79","FMLE","11.1","11.12355","","",""
"LIFE_0000000030","PUBLISHED","2012","WPR","AGE5-9","FMLE","0.001763","0.00176","","",""
"LIFE_0000000034","PUBLISHED","2013","WPR","AGE80-84","FMLE","461069.1","461069.10000","","",""
"LIFE_0000000033","PUBLISHED","2000","WPR","AGE1-4","BTSX","386902","386902.00000","","",""
"LIFE_0000000030","PUBLISHED","1990","WPR","AGE90-94","FMLE","0.716141","0.71614","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE100PLUS","FMLE","4926.1","4926.14400","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE30-34","MLE","482396.4","482396.40000","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE70-74","FMLE","375496.7","375496.70000","","",""
"LIFE_0000000029","PUBLISHED","2012","WPR","AGE50-54","MLE","0.005437","0.00544","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE50-54","BTSX","464433.9","464433.90000","","",""
"LIFE_0000000030","PUBLISHED","2012","WPR","AGE60-64","MLE","0.07224","0.07224","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE75-79","FMLE","14286.7","14286.73000","","",""
"LIFE_0000000032","PUBLISHED","2000","WPR","AGE45-49","FMLE","1316.4","1316.41300","","",""
